['[(1194.473388671875, 491.1381530761719), (1181.6937255859375, 645.2513427734375), (1166.754150390625, 724.871826171875), (1105.119140625, 939.450439453125), (1005.3711547851562, 1240.4219970703125), (1105.8543701171875, 1248.756103515625), (911.222412109375, 1232.4395751953125)]\n\n']

['[(1289.4404296875, 394.49822998046875), (1250.9315185546875, 515.7293701171875), (1245.752685546875, 566.1865234375), (1230.3497314453125, 721.8012084960938), (1210.77685546875, 937.1622924804688), (1291.3905029296875, 957.7235717773438), (1134.601318359375, 917.0242919921875)]\n\n']

['[(1266.2403564453125, 396.81524658203125), (1228.1644287109375, 538.118408203125), (1224.8818359375, 586.254638671875), (1215.1890869140625, 734.36083984375), (1202.0755615234375, 941.771484375), (1282.133544921875, 964.7501831054688), (1126.8797607421875, 919.386474609375)]\n\n']

['[(1265.0728759765625, 396.8768005371094), (1227.442626953125, 536.5200805664062), (1224.0302734375, 585.117919921875), (1214.1441650390625, 734.2269897460938), (1201.3336181640625, 941.7218017578125), (1280.954833984375, 964.6448364257812), (1126.4368896484375, 919.3131713867188)]\n\n']

['[(1264.4776611328125, 396.9940185546875), (1226.8104248046875, 536.3512573242188), (1223.4932861328125, 584.9573364257812), (1213.9901123046875, 734.2106323242188), (1201.8280029296875, 942.13818359375), (1281.600341796875, 964.6087036132812), (1126.7322998046875, 920.2117309570312)]\n\n']

['[(1264.250732421875, 397.0510559082031), (1228.54833984375, 534.3660278320312), (1225.0716552734375, 583.2796630859375), (1215.023193359375, 733.3046875), (1202.0537109375, 942.1207885742188), (1281.930419921875, 964.811279296875), (1126.9376220703125, 919.9902954101562)]\n\n']

['[(1264.38720703125, 397.0484619140625), (1230.0654296875, 533.0535278320312), (1226.293212890625, 582.1262817382812), (1215.585205078125, 732.43408203125), (1202.1094970703125, 941.5253295898438), (1282.1031494140625, 964.5423583984375), (1126.939208984375, 919.046630859375)]\n\n']

['[(1262.798095703125, 401.09619140625), (1225.181396484375, 542.1035766601562), (1222.13623046875, 589.6885375976562), (1213.2554931640625, 736.365234375), (1201.361328125, 942.392822265625), (1281.4298095703125, 965.0671997070312), (1126.0250244140625, 920.4200439453125)]\n\n']

['[(1261.925048828125, 403.66583251953125), (1223.9427490234375, 543.951416015625), (1221.01806640625, 591.4269409179688), (1212.4888916015625, 737.7026977539062), (1201.076416015625, 942.8819580078125), (1281.0662841796875, 965.5867309570312), (1125.7952880859375, 920.7076416015625)]\n\n']

